Location Name,Population in Thousands,Transport,Reviews,Language,SecondaryLanguage,OtherData
Busuanga Island,22.046,Motorcycle,N/A,Austronesian Malayo-Polynesian,Philippine Kalamian Calamian Tagbanwa,N/A
NCR,12877.253,"Jeep, Bus, Motorcyle",N/A,Tagalog,N/A,N/A
Calabarzon,14400,"Jeep, Bus, Motorcyle",N/A,Tagalog,N/A,N/A
Mindanao,25537.691,"Jeep, Bus, Motorcyle",N/A,Bisaya,Tagalog,N/A
Cebu,922.611,"Jeep, Bus, Motorcyle",N/A,Bisaya,Tagalog,N/A
Baguio,345.366,"Jeep, Bus, Motorcyle",N/A,Ilocano,Tagalog,N/A
Ilocos,5026.128,"Jeep, Bus, Motorcyle",N/A,Ilocano,Tagalog,N/A
Palawan,755.412,"Jeep, Bus, Motorcyle",N/A,Palawano,Tagalog,N/A
Legaspi,196.639,"Jeep, Bus, Motorcyle",N/A,Bikol,Tagalog,N/A
Ifugao,202.802,"Jeep, Bus, Motorcyle",N/A,Igorot,Tagalog,N/A
Siargao,200,"Jeep, Bus, Motorcyle",N/A,Siargaonon,Tagalog,N/A
Bohol,1313.56,"Jeep, Bus, Motorcyle",N/A,Bisaya,Tagalog,N/A
Boracay,12.003,"Jeep, Bus, Motorcyle",N/A,Aklanon,Tagalog,N/A
Mountain Province,156.988,"Jeep, Bus, Motorcyle",N/A,Igorot,Tagalog,N/A
Cavite,3678.301,"Jeep, Bus, Motorcyle",N/A,Tagalog,N/A,N/A
Bataan,760.65,"Jeep, Bus, Motorcyle",N/A,Kapampangan,Tagalog,N/A
Negros Occidental,2497.261,"Jeep, Bus, Motorcyle",N/A,Hiligaynon,Tagalog,N/A
Laguna,3035.081,"Jeep, Bus, Motorcyle",N/A,Tagalog,N/A,N/A
Sorsogon,792.949,"Jeep, Bus, Motorcyle",N/A,Bikol,Tagalog,N/A
Romblon,38.758,"Jeep, Bus, Motorcyle",N/A,Hiligaynon,Tagalog,N/A
