location,population_size,main_language,secondary_language,descriptions
Antipolo City,346579.0,Tagalog,Tagalog,Antipolo is a component city in the landlocked province of Rizal. It serves as the provincial capital.
Bacolod,346579.0,Tagalog,Tagalog,"Bacolod is a coastal highly urbanized city in the Western Visayas region. Although administratively independent due to its distinction as highly urbanized city, Bacolod is commonly grouped with the province of Negros Occidental. The highly urbanized city also serves as the provincial capital."
Baguio,346579.0,Tagalog,Tagalog,"Baguio is a highly urbanized city in the Cordillera Administrative Region. Although administratively independent due to its distinction as highly urbanized city, Baguio is commonly grouped with the landlocked province of Benguet. The city also serves as the regional center of the Cordillera Administrative Region."
Batangas,346579.0,Tagalog,Tagalog,Batangas is a coastal component city in the province of Batangas. It serves as the provincial capital.
Bohol,346579.0,Cebuano,Tagalog,Tagbilaran is a coastal component city in the island province of Bohol. It serves as the provincial capital.
Boracay,346579.0,Tagalog,Tagalog,
Cagayan De Oro,346579.0,Tagalog,Tagalog,"Cagayan de Oro is a coastal highly urbanized city in the Northern Mindanao region. Although administratively independent due to its distinction as highly urbanized city, Cagayan de Oro is commonly grouped with the province of Misamis Oriental. The highly urbanized city also serves as the provincial capital as well as the regional center of Northern Mindanao."
Cavite,346579.0,Tagalog,Tagalog,Cavite is a coastal component city in the province of Cavite.
Cebu,346579.0,Cebuano,Tagalog,"Cebu is a coastal highly urbanized city in the Central Visayas region. Although administratively independent due to its distinction as highly urbanized city, Cebu City is commonly grouped with the island province of Cebu. The highly urbanized city also serves as the provincial capital as well as the regional center of Central Visayas."
Coron,346579.0,Tagalog,Tagalog,
Cubao,346579.0,Tagalog,Tagalog,
Davao,346579.0,Tagalog,Tagalog,"Davao is a coastal highly urbanized city in the Davao Region. Although administratively independent due to its distinction as highly urbanized city, Davao City is commonly grouped with the province of Davao del Sur. The city also serves as the regional center of the Davao Region."
Dumaguete,346579.0,Tagalog,Tagalog,Dumaguete is a coastal component city in the province of Negros Oriental. It serves as the provincial capital.
El Nido,346579.0,Tagalog,Tagalog,
Laguna,346579.0,Tagalog,Tagalog,Calamba is a component city in the landlocked province of Laguna. The city serves as the regional center of CALABARZON.
Lapu-Lapu City,346579.0,Tagalog,Tagalog,"Lapu-Lapu, formerly known as Opon, is a coastal highly urbanized city in the Central Visayas region. Although administratively independent due to its distinction as highly urbanized city, Lapu-Lapu is commonly grouped with the island province of Cebu."
Makati,346579.0,Tagalog,Tagalog,Makati is a landlocked highly urbanized city in the National Capital Region.
Mandaluyong,346579.0,Tagalog,Tagalog,Mandaluyong is a landlocked highly urbanized city in the National Capital Region.
Manila,346579.0,Tagalog,Tagalog,Manila is a coastal highly urbanized city in the National Capital Region. It serves as the national capital as well as the regional center of the National Capital Region.
Muntinlupa,346579.0,Tagalog,Tagalog,Muntinlupa is a landlocked highly urbanized city in the National Capital Region.
Palawan,346579.0,Tagalog,Tagalog,"Puerto Princesa is a coastal highly urbanized city in the MIMAROPA region. Although administratively independent due to its distinction as highly urbanized city, Puerto Princesa is commonly grouped with the island province of Palawan. The highly urbanized city also serves as the provincial capital."
Pampanga,346579.0,Kapampangan,Tagalog,San Fernando is a landlocked component city in the coastal province of Pampanga. It serves as the provincial capital as well as the regional center of Central Luzon.
Pasay,346579.0,Tagalog,Tagalog,Pasay is a coastal highly urbanized city in the National Capital Region.
Quezon City,346579.0,Tagalog,Tagalog,Quezon City is a landlocked highly urbanized city in the National Capital Region.
San Isidro,346579.0,Tagalog,Tagalog,
Subic,346579.0,Tagalog,Tagalog,
Tagaytay,346579.0,Tagalog,Tagalog,Tagaytay is a landlocked component city in the coastal province of Cavite.
Taguig,346579.0,Tagalog,Tagalog,
Tanay Rizal,346579.0,Tagalog,Tagalog,
Zambales,346579.0,Tagalog,Tagalog,"Olongapo is a coastal highly urbanized city in the Central Luzon region. Although administratively independent due to its distinction as highly urbanized city, Olongapo is commonly grouped with the province of Zambales."
